重庆联通,#genre#
贵州卫视超高清,http://14.108.209.204:8806/udp/235.254.198.185:7980
四川卫视超高清,http://14.108.209.204:8806/udp/235.254.198.175:7980
云南卫视,http://14.108.209.204:8806/udp/235.254.198.25:1376
广西卫视,http://14.108.209.204:8806/udp/235.254.198.38:1428
黑龙江卫视超高清,http://14.108.209.204:8806/udp/235.254.198.70:1556
安徽卫视超高清,http://14.108.209.204:8806/udp/235.254.198.65:1536
山西卫视,http://14.108.209.204:8806/udp/235.254.198.41:1440
江西卫视,http://14.108.209.204:8806/udp/235.254.198.29:1392
湖北卫视高清,http://14.108.209.204:8806/udp/235.254.198.72:1564
旅游卫视,http://14.108.209.204:8806/udp/235.254.198.44:1452
陕西卫视,http://14.108.209.204:8806/udp/235.254.198.40:1436
东南卫视超高清,http://14.108.209.204:8806/udp/235.254.198.129:7980
吉林卫视,http://14.108.209.204:8806/udp/235.254.198.39:1432
辽宁卫视高清,http://14.108.209.204:8806/udp/235.254.198.68:1548
内蒙古卫视,http://14.108.209.204:8806/udp/235.254.198.42:1444
湖南卫视超高清,http://14.108.209.204:8806/udp/235.254.198.62:1524
广东卫视高清,http://14.108.209.204:8806/udp/235.254.196.204:1088
河南卫视,http://14.108.209.204:8806/udp/235.254.198.26:1380
河北卫视高清,http://14.108.209.204:8806/udp/235.254.198.184:7980
宁夏卫视,http://14.108.209.204:8806/udp/235.254.198.45:1456
甘肃卫视,http://14.108.209.204:8806/udp/235.254.198.48:1468
少儿动画,http://14.108.209.204:8806/udp/235.254.198.116:1740
卡酷动画,http://14.108.209.204:8806/udp/235.254.198.49:1472
金鹰卡通,http://14.108.209.204:8806/udp/235.254.198.50:1476
嘉佳卡通,http://14.108.209.204:8806/udp/235.254.198.110:1716
魅力时尚,http://14.108.209.204:8806/udp/235.254.198.115:1736
青海卫视,http://14.108.209.204:8806/udp/235.254.198.43:1448
新疆卫视,http://14.108.209.204:8806/udp/235.254.198.47:1464
